"";"volumeInfo.title";"volumeInfo.publisher";"volumeInfo.description";"volumeInfo.categories";"volumeInfo.language";"volumeInfo.authors"
"12";"L'agriculture en Europe occidentale à l'époque moderne";NA;"Cet ouvrage est le premier du genre à proposer un panorama de l'agriculture en Europe occidentale à l'époque moderne, en offrant une fine analyse régionale des productions végétales ou animales, des techniques agraires et des outillages. Ce vaste espace était en effet une mosaïque de paysages et de terroirs où les hommes devaient sans cesse s'adapter à leur milieu et répondre à leurs besoins. Si certains paysans de l'époque moderne travaillaient encore selon des coutumes ancestrales, redoutaient les caprices du ciel et les ravages de la guerre, d'autres surent expérimenter des plantes venues d'ailleurs, élever du bétail pour le vendre à la ville ou perfectionner leurs instruments. Enrichi au fil du récit par des images d'archives, des graphiques et des textes, accompagné de nombreuses définitions qui nous rappellent des mots parfois oubliés, ce livre a été rédigé par trois spécialistes de cette Histoire en plein renouveau.";"Agriculture";"fr";"Annie Antoine,Jean-Michel Boehler,Francis Brumont"
"14";"Histoire des agricultures du monde";NA;"Pourquoi l'homme est-il devenu agriculteur ? Quelles agricultures pratiquait-on en Europe au néolithique, dans l'Antiquité, au Moyen Age et à l'époque de la première révolution industrielle ? Et dans d'autres civilisations ? A quels sommets inouïs de productivité quelques millions d'agriculteurs motorisés, mécanisés et spécialisés, sont-ils parvenus en cette fin de XXe siècle ? Pourquoi des centaines de millions de paysans sont-ils frappés par la pauvreté et condamnés à l'exode ou même à la famine ? En retraçant la prodigieuse épopée qui va des premières domestications de plantes et d'animaux aux agricultures si différenciées d'aujourd'hui, ce livre montre que la crise actuelle de l'économie mondiale s'enracine dans la mise en concurrence inconsidérée des héritages agraires, très inégaux, des différentes régions du monde. Les auteurs proposent une stratégie mondiale capable de sauvegarder et de développer l'économie paysanne pauvre, et de relancer l'économie.";"Agriculture";"fr";"Marcel Mazoyer,Laurence Roudart"
"15";"Financement des chaînes de valeur agricoles";"Food & Agriculture Org";"L'agriculture reste un moyen fondamental pour réduire la pauvreté mais un manque de financements peut entraver son développement. Au même moment, l'agriculture évolue vers un système mondial qui exige une très grande qualité, des produits compétitifs et qui est organisé en chaînes de valeur qui excluent souvent les petits exploitants agricoles. L'ouvrage Financement des chaînes de valeur agricoles donne une vue d'ensemble complète des modèles, des outils et des approches mis en ouvre par les chefs d'entreprise dans le monde en développement. Ils sont décrits, analysés et illustrés par de nombreux exemples dans leur fonctionnement et permettent de tirer des enseignements pouvant être mis en pratique. Ce livre se base sur l'expérience solide de la FAO dans le domaine de la finance et du développement agricole et comprend 40 exemples d'entreprises et 5 études de cas facilitant l'apprentissage. Cet ouvrage constitue un outil fondamental pour le personnel technique et les chefs d'entreprises agroalimentaires, les dirigeants de banques et de coopératives opérant dans le secteur agricole, les ONG et les praticiens du développement du microfinancement, les chercheurs et les responsables politiques.";"Agriculture";"fr";"Food and Agriculture Organization of the United Nations"
"25";"La conduite du champ cultivé";"Ird";"La conduite du champ cultivé constitue un objet d'étude central que les agronomes peuvent aborder selon deux points de vue complémentaires. Le premier s'attache à comprendre le fonctionnement de l'agrosystème, afin de disposer de références techniques utiles à l'établissement de diagnostics et à la conception de solutions techniques. Le second s'intéresse aux pratiques et aux décisions des agriculteurs, et permet de préciser les conditions et les modalités d'adoption des innovations. Des expériences de recherche portant sur des situations agricoles très variées illustrent ces deux approches. Field management is a key subject for study by agronomists, who can approach it from two complementary viewpoints. The first is aimed at understanding the functioning of the agrosystem in order to obtain the set of technical references needed for the performance of diagnoses and the design of technical alternatives. The second concerns farmers' practices and decisions in order to specify the conditions and adoption procedures of the innovations. The two approaches are illustrated by research experiments applied to very varied agricultural situations.";"Agriculture";"fr";"Anne Biarnès,ORSTOM (France)"
"29";"Analyse statistique à plusieurs variables";"Presses Agronomiques Gembloux";"Fondements theoriques; Les problemes de regression et de correlation; Les regions de confiance et les tests d'homogeneite; Les problemes de classification et de classement.";"Agriculture";"fr";"Pierre Dagnelie"
"30";"L'héritage refusé";NA;"Cet ensemble de textes publiés entre 1975 et 1985 est le fruit de diverses enquêtes réalisées dans le milieu rural, principalement en Mayenne et en Bresse bourguignonne. Avec une grande clarté, l'auteur analyse la situation d'une classe sociale qui a subi une double crise de reproduction : à la fois technique et économique avec la généralisation des méthodes de production intensive, mais aussi sociale et culturelle dans laquelle est en jeu une identité paysanne menacée par le problème de la transmission du patrimoine. S'interrogeant sur les facteurs qui expliquent cette évolution souvent brutale, l'auteur met en évidence les insuffisances d'une analyse purement économique et montre qu'il faut prendre en compte les phénomènes plus cachés dits de "" domination symbolique "". Patrick Champagne entreprend ainsi une analyse des stratégies de reproduction sociale qui met en avant l'économie des échanges entre générations. Des clés pour comprendre la situation des classes sociales qui, à l'instar de la paysannerie, connaissent de profonds bouleversements et dont l'avenir est l'un des enjeux de notre société.";"Agriculture";"fr";"Patrick Champagne"
"31";"Histoire de l'agriculture en Gaule";"Editions Errance";"La période comprise entre le premier Age du Fer (500 av. J.-C.) et la fin du haut Moyen Age (1000 apr. J.-C.) est une période charnière dans l'histoire de l'agriculture. La maîtrise de la sidérurgie et de la métallurgie du fer constitue une étape fondamentale dans l'évolution de l'agriculture. La mise au point de l'outillage agricole au premier Age du Fer prendra toute son ampleur au second Age du Fer. Il faudra attendre la révolution industrielle (XVIIIe-XIXe siècles) pour que soit modifié l'équipement technique des agriculteurs. La culture et l'élevage, mais aussi l'habitat, la chasse, les produits de la mer sont étudiés pour traiter, dans son ensemble, la vie dans les campagnes pendant un millénaire et demi.";"Agriculture";"fr";"Alain Ferdière"
"34";"Hesiode, Theogonie";"Belles Lettres";"La Théogonie montre l'organisation progressive du monde divin : luttes terribles entre générations, victoires de Zeus sur les monstres, répartition des tâches entre les dieux de l'Olympe, royauté finale de Zeus, séparation entre les dieux et les hommes.--[Memento].";"Agriculture";"fr";"Hésiode"
"39";"Guide de gestion de l'entreprise agricole";"Editions France Agricole";"La 4e de couv. indique : ""Dans cet ouvrage Raymond Lavallois met en oeuvre ses qualités de pédagogue pour nous former à la gestion de l'entreprise agricole qui est bien trop souvent réduite à la pratique comptable. Ici l'auteur donne au terme «gestion» sa vraie dimension en insistant sur l'aspect systémique de l'entreprise mais également sur la dimension humaine. Ce livre pratique présente tous les aspects de la gestion d'une exploitation agricole vécus par un praticien, en proposant des fiches de travail et en s'appuyant sur des exemples et des études de cas pour rendre accessibles les divers concepts reposant sur des données comptables. Au-delà de l'aspect comptable de la gestion de l'exploitation, l'auteur expose : la dimension de risque, qui doit être mesuré et géré la dimension humaine du conseil de gestion. Il prend également en compte les attentes des exploitants et de leurs proches en matière de qualité de vie, de développement, etc. Les agriculteurs trouveront dans ce guide de précieux conseils pour décider et gérer leur exploitation au quotidien. Il sera également très utile aux étudiants dans le cadre de leur formation en gestion d'entreprise agricole.""";"Agriculture";"fr";"Roland Levallois,Raymond Levallois"
"44";"Financement des chaînes de valeur agricoles";"Food & Agriculture Org";"L'agriculture reste un moyen fondamental pour réduire la pauvreté mais un manque de financements peut entraver son développement. Au même moment, l'agriculture évolue vers un système mondial qui exige une très grande qualité, des produits compétitifs et qui est organisé en chaînes de valeur qui excluent souvent les petits exploitants agricoles. L'ouvrage Financement des chaînes de valeur agricoles donne une vue d'ensemble complète des modèles, des outils et des approches mis en ouvre par les chefs d'entreprise dans le monde en développement. Ils sont décrits, analysés et illustrés par de nombreux exemples dans leur fonctionnement et permettent de tirer des enseignements pouvant être mis en pratique. Ce livre se base sur l'expérience solide de la FAO dans le domaine de la finance et du développement agricole et comprend 40 exemples d'entreprises et 5 études de cas facilitant l'apprentissage. Cet ouvrage constitue un outil fondamental pour le personnel technique et les chefs d'entreprises agroalimentaires, les dirigeants de banques et de coopératives opérant dans le secteur agricole, les ONG et les praticiens du développement du microfinancement, les chercheurs et les responsables politiques.";"Agriculture";"fr";"Food and Agriculture Organization of the United Nations"
"52";"La forêt, l'homme et le troupeau dans les Pyrénées";NA;"L'histoire de la colonisation agro-pastorale des Pyrénées est encore mal connue et constitue aujourd'hui un vaste champ de recherche. Géographe travaillant avec des paléo-écologues, des historiens et des archéologues, l'auteur propose une approche interdisciplinaire basée sur l'analyse pollinique. Ces travaux permettent de compléter le puzzle de l'histoire de l'environnement dans la moitié Est des Pyrénées françaises. Dès le Néolithique, les traces des premiers éleveurs apparaissent dans les pâturages de Cerdagne. Puis, durant l'Age du Bronze, la colonisation se généralise, les forêts changent et les défrichements s'accentuent, jusqu'à l'expansion agricole de l'Antiquité gallo-romaine. L'étude met surtout en évidence la précocité de la croissance médiévale, qui commence dès le IXème siècle dans presque toutes les vallées, et parfois même plus tôt. Les défrichements agricoles et pastoraux vont alors s'intensifier jusqu'au XIXème siècle, tandis que la métallurgie à la catalane transforme profondément les forêts. Le paysage des Pyrénées vit depuis le début du XXème siècle au rythme des bouleversements que provoquent la déprise rurale et l'enfrichement. Au-delà de ces quelques décennies d'évolution récente, la recherche qui est présentée ici permet de replacer notre temps dans la longue durée de 6000 ans d'histoire de l'environnement.";"Agriculture";"fr";"Didier Galop"
"53";"Témoin et acteur";"Musnier Gilbert (Editions)";"Pas question chez Florent Nové-Josserand de séparer le témoin de l'acteur. L'homme a passé sa vie à mettre en pratique le fameux principe de la Jeunesse agricole chrétienne "" voir, juger, agir "" qui a marqué des générations de leaders syndicaux et ruraux tout au long de ce siècle. Avec foi et obstination, avec une lucidité saluée par tous ceux qui l'ont suivi dans ses batailles, avec une générosité qui force le respect, Florent Nové-Josserand a participé de près et sans relâche, en témoin scrupuleux, en acteur impétueux, à l'évolution de l'agriculture française depuis 1945. Par ce livre, il veut témoigner jusqu'au bout, sans mettre pour autant un point final à ses engagements qui l'ont conduit, de l'après-guerre au GATT, à s'impliquer dans toutes les luttes menées pour la défense de l'agriculture française, pour la promotion de ses hommes et de ses femmes, pour l'affirmation de ses organisations professionnelles et militantes, comme la FNSEA, dont il fut un fondateur et un des piliers. Il y a dans ces pages une formidable leçon d'optimisme et d'espoir pour les générations présentes et à venir. Sa vie durant, Florent Nové-Josserand aura préféré la solution au problème, l'homme à la machine, le bien commun à l'individualisme. C'est une leçon de syndicalisme, une leçon de foi et une leçon d'humanisme. Mais c'est avant tout une leçon de vie.";"Agriculture";"fr";"Florent Nové-Josserand"
"58";"La conduite du champ cultivé";"Ird";"La conduite du champ cultivé constitue un objet d'étude central que les agronomes peuvent aborder selon deux points de vue complémentaires. Le premier s'attache à comprendre le fonctionnement de l'agrosystème, afin de disposer de références techniques utiles à l'établissement de diagnostics et à la conception de solutions techniques. Le second s'intéresse aux pratiques et aux décisions des agriculteurs, et permet de préciser les conditions et les modalités d'adoption des innovations. Des expériences de recherche portant sur des situations agricoles très variées illustrent ces deux approches. Field management is a key subject for study by agronomists, who can approach it from two complementary viewpoints. The first is aimed at understanding the functioning of the agrosystem in order to obtain the set of technical references needed for the performance of diagnoses and the design of technical alternatives. The second concerns farmers' practices and decisions in order to specify the conditions and adoption procedures of the innovations. The two approaches are illustrated by research experiments applied to very varied agricultural situations.";"Agriculture";"fr";"Anne Biarnès,ORSTOM (France)"
"59";"Un village, la terre et ses hommes";"Comité des travaux historiques et scientifiques - CTHS";"Il est des pays dont la simple évocation stimule l'imagination : la Beauce, aux portes de Paris, est de ceux-là. Longue étendue plate et austère brûlée par le soleil en été, par le gel en hiver, océan céréalier d'où émergent villages et hameaux tels des îles, la Beauce offre un paysage extraordinaire. Pourtant, derrière cette façade pittoresque se dissimule une histoire discrète : celle de l'exploitation d'une terre. Qui, des nombreux voyageurs pressés traversant aujourd'hui la Beauce sans la voir, a conscience que cette terre à blé était autrefois traversée par des dizaines de milliers de moutons, depuis le Moyen Age jusqu'aux grands remembrements de l'après Seconde Guerre mondiale ? Qui perçoit, derrière l'apparence immémoriale de ce paysage, les multiples variations, évolutions, adaptations que le système agraire a pu connaître au cours des siècles ? C'est cette discrète et lente dynamique agraire qui est au cœur de ce livre. Partant d'une observation minutieuse des structures d'exploitation d'un petit terroir sous l'Ancien Régime (Toury en Eure-et-Loire possession de l'abbaye de Saint-Denis dès les premiers siècles du Moyen Age), l'auteur démonte les ressorts d'une dynamique en remontant pas à pas jusqu'au XIIe siècle. À l'issue de l'analyse, de nombreuses certitudes tombent concernant les pratiques agraires, la dimension spatiale des communautés rurales et la place de l'initiative individuelle dans un système communautaire.";"Agriculture";"fr";"Samuel Leturcq"
"61";"Le Finistère face à la modernité entre 1850 et 1900";"Editions Apogée";"Quatre personnages, appartenant aux couches moyennes de la société finistérienne, nous relatent, à travers leurs cahiers de classe, leurs correspondes, leurs journaux de bord et leurs cahiers de comptes, la façon dont la modernité les a touchés entre 1850 et 1900. Une écolière morlaisienne de quinze ans reçoit un enseignement dans lequel la tradition nationale-catholique la plus rigide se colore de quelques apports modernes concernant la gestion domestique. Deux capitaines au long cours de l'Île de Batz sillonnent les mers, non sans déboires, en s'efforçant de résister à la concurrence des steamers. Un gentleman-farmer de Plounéventer multiplie les expériences agronomiques avant de se retrouver au cœur de "" la drôle de guerre "" de 1870, sanglant prélude d conflits mondiaux du 20e siècle. Ces quatre comparses de l'histoire subissent l'emprise croissante de la culture française, qu'ils combinent plus moins harmonieusement avec les manières de penser et de sentir indissociables de leur langue maternelle, le breton. Tous ensemble, ils contribuent à ruiner le mythe d'une Bretagne figée dans la routine et l'archaïsme.";"Agriculture";"fr";"Hervé Martin,Louis Martin"
"65";"Génèse et diffusion de l'agriculture en Europe";NA;"Le passage de la vie de chasseur nomade à une existence de paysan constitue l'une des plus grandes révolutions de l'histoire humaine. La néolithisation de l'Europe entre 7 000 et 5 000 av. J.-C. s'effectue à la suite d'un processus lent et progressif venant du Proche-Orient. L'arrivée de l'agriculture et du pastoralisme ne représente pas seulement un changement d'économie, mais la modification des modes de vie, de la structure sociale et du système religieux. La transmission du système agropastoral, peut venir d'un apport important de population qui modifie la composition initiale des groupes autochtones, ou de la progression d'une idée se développant peu à peu au sein des anciennes populations de l'Europe. La révolution néolithique en Europe est une histoire complexe qui se déroule en plusieurs phases, où, très vite, les sociétés se diversifient régionalement, par rapport au modèle initial, créant de multiples cultures possédant leur propre originalité. Un moment fondamental dans l'histoire de notre continent.";"Agriculture";"fr";"Karoline Mazurié de Keroualin"
"70";"L'héritage refusé";NA;"Cet ensemble de textes publiés entre 1975 et 1985 est le fruit de diverses enquêtes réalisées dans le milieu rural, principalement en Mayenne et en Bresse bourguignonne. Avec une grande clarté, l'auteur analyse la situation d'une classe sociale qui a subi une double crise de reproduction : à la fois technique et économique avec la généralisation des méthodes de production intensive, mais aussi sociale et culturelle dans laquelle est en jeu une identité paysanne menacée par le problème de la transmission du patrimoine. S'interrogeant sur les facteurs qui expliquent cette évolution souvent brutale, l'auteur met en évidence les insuffisances d'une analyse purement économique et montre qu'il faut prendre en compte les phénomènes plus cachés dits de "" domination symbolique "". Patrick Champagne entreprend ainsi une analyse des stratégies de reproduction sociale qui met en avant l'économie des échanges entre générations. Des clés pour comprendre la situation des classes sociales qui, à l'instar de la paysannerie, connaissent de profonds bouleversements et dont l'avenir est l'un des enjeux de notre société.";"Agriculture";"fr";"Patrick Champagne"
"71";"Le mouvement paysan dans le Schleswig-Holstein, 1928-1932";"Peter Lang Gmbh, Internationaler Verlag Der Wissenschaften";"Cette etude essentiellement historique du mouvement de revolte paysanne qui a agite entre 1928 et 1932 le Schleswig-Holstein, a ete realisee a partir de nombreux documents d'archives. C'est une crise agricole sans precedent qui est a l'origine de ce mouvement dont Claus Heim, le -general-paysan-, prend la tete et qui, pendant deux ans, multiplie manifestations et attentats a l'explosif. Les interrogations qu'il suscite depassent cependant largement le cadre de l'histoire economique du Schleswig-Holstein. Son developpement coincide en effet dans le temps avec la formidable progression du parti national-socialiste dans les milieux ruraux de cette province qui sera, en juillet 1932, la premiere region d'Allemagne a voter a la majorite absolue pour le NSDAP. L'auteur, apres avoir retrace les principales etapes de la revolte des agriculteurs, s'attache a en montrer l'originalite et s'interroge sur le lien qui peut exister entre le mouvement paysan et l'evolution des milieux ruraux en direction du NSDAP.""";"Agriculture";"fr";"Michelle Le Bars"
"80";"Nous labourons";NA;"Technik - Volkskunde - Ackerbau - Pflug - Pflügen - Bodenbearbeitung.";"Agriculture";"fr";"René Bourrigaud,François Sigaut"
"81";"Gabon";"Editions L'Harmattan";"Traite de l'agriculture paysanne et familiale gabonaise en concluant sur la necessité de revoir l'environnement institutionnel lié au développement rural.";"Agriculture";"fr";"Aimé Dieudonné Mianzenza"
