line,text,genre
11,"
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           INÉDITRisquer le tout pour le tout…Quatre ans qu’elle survit à l’apocalypse. Lilly a fait des choses qu’elle n’aurait pas même imaginé dans ses pires cauchemars. Mais elle a survécu. Et elle a désormais installé son territoire dans la ville ravagée d’Atlanta, dans une zone sûre pour ses compagnons, loin au-dessus des rues infestées de zombies. Mais elle rêve toujours de son ancien foyer, dans le petit village de Woodbury. Un lieu qui lui inspire autant de chagrin que d’espoir, et qui est devenu pour elle le symbole du futur, de la famille, du retour à une vie normale au milieu de cet enfer terrestre. Cet appel est si puissant qu’elle décide de tout risquer pour revenir en arrière… et reconquérir cette petite oasis dans ce monde sauvage. Malgré tous les obstacles et les dissuasions de ses compagnons, Lilly prend la tête d’un groupe de fervents partisans et se lance dans un périple de tous les dangers pour accomplir la seule chose qui lui reste à faire  : retourner à Woodbury.Suivi par des millions de lecteurs (27 tomes parus aux éditions Delcourt) et de téléspectateurs (la série TV événement), The Walking Dead est un véritable phénomène. Retour à Woodbury est le huitième et dernier roman inédit de cette série culte.  Déjà paru :L’Ascension du Gouverneur, La Route de Woodbury, La Chute du Gouverneur 1, La Chute du Gouverneur 2, L’Ère du Prédicateur, Invasion, Cherche et tue     
    
  
  
  
  
  
  
  

  
  ",Fantastique
12,"
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           En prenant sa retraite, John Rothstein a plongé dans le désespoir les millions de lecteurs des aventures de Jimmy Gold. Devenu fou de rage depuis la disparition de son héros favori, Morris Bellamy assassine le vieil écrivain pour s'emparer de sa fortune et, surtout, de ses précieux carnets de notes. Le bonheur dans le crime ? C'était compter sans les mauvais tours du destin... et la perspicacité du détective Bill Hodges.Trente ans après  Misery, Stephen King renoue avec l’un de ses thèmes de prédilection : l'obsession d'un fan. Dans ce formidable roman noir, où l'on retrouve les protagonistes de  Mr Mercedes  (prix Edgar 2015), il rend un superbe hommage au pouvoir de la fiction, capable de susciter chez le lecteur le meilleur... comme le pire.  Un suspense de très haut niveau et une intrigue au déroulé parfait qui vont faire passer au lecteur de belles nuits blanches. Renaud Baronian, Le Parisien.       
    
  
  
  
  
  
  
  

  
  ",Fantastique
13,"
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           Imaginez les jumeaux maléfiques de Sherlock Holmes et du docteur Watson… Vous obtenez le redoutable duo formé par le professeur James Moriarty – serpent d'une intelligence remarquable, aussi cruel qu'imprévisible – et le colonel Sebastian Moran – violent, libertin et politiquement incorrect. Ensemble, ils règnent sur Londres en maîtres du crime, tenant dans leur poing police et hors-la-loi. Quelle que soit leur mission, du meurtre au cambriolage de haut vol, Moriarty et Moran accueillent un flot de visiteurs malfaisants : membres du Si-Fan assoiffés de sang, Vampires de Paris, et même une certaine Irène Adler...  Un style élégant et plein d’humour typiquement britannique. Une revisite impertinente de l’œuvre de Conan Doyle. On s'amuse énormément.  Ariane Marquis, actusf.com     
    
  
  
  
  
  
  
  

  
  ",Fantastique
14,"
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           Rien ne va plus depuis que le château de l'extravagante famille Ferrayor a croulé sous l'assaut des objets rendus à la vie. Clod erre dans une ville ravagée. Lucy Pennant, sa complice, perdue dans les profondeurs d’une décharge, fait la rencontre d’une créature aussi monstrueuse qu’attachante. Pourchassés, nos deux héros vont devoir s’unir pour déjouer les plans du tyran qui asservit le peuple du Faubourg.Ce deuxième volume de la «  Trilogie des Ferrailleurs  » confirme le génie visionnaire d’un écrivain et dessinateur unique en son genre, «  héritier des rêves illuminés de Borges, Calvino et Perec  » (The New York Times Review of Books), démiurge d'un monde dont l'inquiétante étrangeté n'est pas sans rappeler notre propre réalité.  On peut difficilement rester insensible au charme obscur et drolatique de cet univers.  Ludovic Barbiéri, Chronic’art.Dickens revu et corrigé sur un mode fantaisiste.  Bernard Quiriny, Le Magazine littéraire.     
    
  
  
  
  
  
  
  

  
  ",Fantastique
15,"
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           Rue et l'équipage du dirigeable La Coccinelle à la crème sont de retour d'Inde avec des révélations propres à secouer les fondements de la communauté scientifique britannique. La Reine Victoria a de quoi être agacée : les vampires sont à fleur de peau, et quelque chose ne va pas du côté de la meute de loups-garous locale. Pour couronner le tout, la meilleure amie de Rue, Primrose, persiste à se fiancer à un militaire peu recommandable.Mais Rue a également des problèmes personnels. Son père vampire est en colère, son père loup-garou est fou, et sa tapageuse mère est tout à la fois. Mais, le pire, c’est que Rue commence à comprendre ce qui se passe vraiment… ils ont peur.«  Une aventure loufoque et créative dans un empire britannique réinventé, qui rappelle le meilleur du Protectorat de l’ombrelle.  » Romantic Times.     
    
  
  
  
  
  
  
  

  
  ",Fantastique
16,"
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           Traduit de l’anglais (Etats-Unis) par Mélanie Fazi.« Je m’appelle David Charleston, et je tue ceux qui ont des super-pouvoirs. »Cœur d’Acier est mort et Newcago est libre. La disparition du tyran aurait dû rendre la vie plus simple, et pourtant David se pose des questions. Mais personne à Newcago ne peut lui offrir de réponses... C’est à Babylon Restored, autrefois Manhattan, gouvernée par la mystérieuse Épique Regalia, qu’il peut espérer les trouver. Se rendre dans une ville oppressée par un nouvel Épique despote est une entreprise délicate, mais David est prêt à courir le risque. Parce que tuer Cœur d’Acier a laissé un trou dans sa vie, à l’endroit où sa soif de vengeance se nichait autrefois. Ce manque a été comblé par une autre Épique : Brasier, que les Redresseurs ont un jour connue sous le nom de Megan. Et David est prêt à se lancer dans une quête plus dangereuse encore que son combat contre Cœur d’Acier pour la retrouver.Avec des romans vendus à plus de cinq millions d’exemplaires dans le monde, récompensés par de nombreux prix et comparés à ceux de G.R.R. Martin (Le Trône de fer) et de Robert Jordan (La Roue du temps), Brandon Sanderson est un des plus grands auteurs de sa génération. «Le style est percutant, l’histoire avance à toute vitesse. Un moment de divertissement d’excellente facture. » Elbakin.netA propos de Cœur d’acier :« La maîtrise narrative de Brandon Sanderson fait merveille dans ce récit, mené tambour battant (…). Un roman qui se lit d’une traite, (…) et une nouvelle réussite dans l’œuvre de Brandon Sanderson. » Bifrost« Vivement conseillé aux fans de l’auteur comme aux lecteurs avides de supers-héros et d’action post apocalyptique. » ActuSF     
    
  
  
  
  
  
  
  

  
  ",Fantastique
17,"
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           Un virus a décimé la population des États-Unis, à l'exception des adolescents. Ces derniers pensaient être les seuls survivants... mais ils se trompaient. Donna et Jefferson se sont séparés. Jefferson retourne à New York, où il va tenter de trouver l'antidote du virus au sein de la tribu des Washington Square. Donna, quant à elle, se rend en Angleterre, où elle est confrontée à un tout autre monde. Parviendront-ils à se réunir de nouveau pour empêcher ce qui s'annonce comme un désastre plus grand encore que le virus qui a anéanti le continent ?Le deuxième tome de la série-événement The Young World. Les droits cinéma ont été achetés par la Warner Bros., et Chris Weitz lui-même (Twilight, American Pie) réalisera le film.  Chris Weitz opère une transition parfaite entre la réalisation cinématographique et l’écriture romanesque. Une histoire aussi captivante et originale que Divergente. James Patterson, à propos de The Young World.     
    
  
  
  
  
  
  
  

  
  ",Fantastique
18,"
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           2034. La station Sevastopolskaya produit de l'électricité qui alimente le métro moscovite, mais la dernière caravane d'approvisionnement n’est jamais réapparue, pas plus que les groupes de reconnaissance envoyés à sa recherche...Ils seront trois à devoir résoudre cette énigme. Hunter, le combattant impitoyable revenu d'entre les morts, rongé de l'intérieur par les ténèbres ; Homère, qui a tout perdu aux premiers instants de la guerre et projette d'ériger un mémorial à l'humanité disparue ; Sacha, enfin, toute jeune fille qu'ils trouveront sur leur route dans une station où elle a vécu en exil avec son père.Publié en Russie en 2009, Métro 2034 a suivi la carrière de best-seller international de Métro 2033.  Sombre, violent, parsemé de discussions élevées, les qualités du premier opus se retrouvent ici.  L’Écran fantastique.  Une suite réussie ! Actu SF.     
    
  
  
  
  
  
  
  

  
  ",Fantastique
19,"
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           Lilly Caul et les siens caressent l’espoir de bâtir des lendemains meilleurs. En se regroupant avec d’autres petits villages de survivants, ils entreprennent de reconstruire le chemin de fer qui relie Woodbury à Atlanta. La possibilité d’un voyage plus sécurisé marquerait, dans ce monde post-apocalyptique, le début d’une nouvelle ère d’échanges, de progrès et de démocratie. Mais, sortie de nulle part, une nouvelle horde de zombies particulièrement brutale a attaqué Woodbury en leur absence, massacrant des adultes et kidnappant des enfants. Lilly et une bande hétéroclite de sauveteurs se lancent dans une mission désespérée pour les retrouver.Mais comment un tel assaut, totalement inattendu, a-t-il pu se produire ? Pourquois’acharner ainsi sur des innocents ? Cette sombre odyssée leur apportera d’effroyables réponses.Suivi par des millions de lecteurs (27 tomes parus aux éditions Delcourt)et de téléspectateurs (la série TV événement), The Walking Dead est unvéritable phénomène. Cherche et tue est le septième roman inédit de cettesérie culte.Déjà paru :L’Ascension du Gouverneur, La Route de Woodbury, La Chute du Gouverneur 1,La Chute du Gouverneur 2, L’Ère du Prédicateur, Invasion.     
    
  
  
  
  
  
  
  

  
  ",Fantastique
20,"
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           Night Vale : une sympathique communauté au cœur d’un désert au sud-ouest des États-Unis. Un endroit à part, peuplé de spectres, d'anges et d'extraterrestres, où prennent vie théories conspirationnistes et légendes urbaines... Une ville où il ne fait pas bon croiser les créatures encapuchonnées qui ont investi le nouveau parc à chiens interdit au public, où la police secrète a pignon sur rue, où l'acquisition d'un poisson rouge vous fera vous poser des questions sur son régime de souris, où certains jours de la semaine sont annulés à cause de contraintes de calendrier, où de mystérieuses lumières survolent la population pendant qu’elle fait semblant de dormir. Bienvenue à Night Vale.Découvrez le livre inspiré du podcast au succès international, Welcome to Night Vale. Un roman totalement loufoque à lire de toute urgence. Jean-Luc Riviera, Actusf.com     
    
  
  
  
  
  
  
  

  
  ",Fantastique
21,"
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           Apprendre l'art de l'espionnage au sein de l'école volante de Mlle Géraldine est devenu fastidieux pour Sophronia, privée de la présence de Savon. Elle préférerait utiliser ses talents pour contrarier les plans des Vinaigriers, mais ses maints avertissements sont encore et toujours ignorés. Sophronia ne sait plus à qui se fier. Quelles informations détient le bourru dewan de Sa Majesté ? Dans quel camp se place l'élégant vampire lord Akeldama ? Une seule chose est certaine : un complot d'envergure se trame. Sophronia doit se préparer à sauver ses amis, son école et Londres entière du désastre à venir – sans jamais se départir de son raffinement spectaculaire, bien évidemment.Découvrez le destin de notre jeune héroïne alors qu'elle met enfin en pratique ses années d'entraînement dans ce quatrième et dernier volume du Pensionnat de Mlle Géraldine.     
    
  
  
  
  
  
  
  

  
  ",Fantastique
22,"
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           Mare Barrow a le sang rouge, comme la plupart des habitants de Norta. Mais comme les seigneurs de Norta, qui se distinguent par leur sang couleur de l’argent, elle possède un pouvoir extraordinaire, celui de contrôler la foudre et l’électricité. Pour la famille royale, elle est une anomalie, une aberration. Une dangereuse machine de guerre.Alors qu’elle fuit la cour et Maven, le prince qui l’a trahie, Mare fait une découverte qui change la donne : elle n’est pas seule. D’autres Rouges, comme elle, cachent l’étendue de leurs pouvoirs. Traquée par Maven, Mare fait face à sa nouvelle mission : recruter une armée, rouge et argent. Aussi rouge que l’aube, plus rapide qu’un éclair d’argent. Capable de renverser ceux qui les oppriment depuis toujours. Mais le pouvoir est un jeu dangereux, et Mare en connaît déjà le prix.Le deuxième volet épique et passionnant de la série Red Queen.     
    
  
  
  
  
  
  
  

  
  ",Fantastique
23,"
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           Il a suffi de quelques jours au charismatique révérend Charles Jacobs pour ensorceler les habitants de Harlow, dans le Maine. Et plus que tout autre, le petit Jamie. Car l'homme et l'enfant ont une passion commune : l'électricité.Trente ans plus tard, Jamie est un guitariste de rock rongé par l'alcool et la drogue. Il va croiser à nouveau le chemin de Jacobs, et découvrir que le mot « renaissance » peut avoir plus d’un sens.Addiction, fanatisme, expérimentations scientifiques... Un roman électrique sur ce qui se cache de l'autre côté du miroir. Hommage à Edgar Allan Poe, Nathaniel Hawthorne et Lovecraft, un King d'anthologie.  Haletant de bout en bout. Stephen King nous surprendra toujours. Renaud Baronian, Le Parisien. L’écrivain nous mène bon train jusqu’en enfer. Cécile Mury, Télérama. Stephen King revient à ses premières amours, celles que son lectorat préfère : le roman d’épouvante. Joël Métreau, 20 minutes.     
    
  
  
  
  
  
  
  

  
  ",Fantastique
24,"
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           Parvenu à l'âge des bilans, Simon Cadique, réalisateur de séries télé, décide de se lancer dans la réalisation d'un film dont le sujet lui tient à cœur : rendre hommage à des figures injustement oubliées par l’histoire. Les frères Caudron, deux fils de la paysannerie picarde, furent à l’aube du XXe siècle des pionniers de l’aviation. Les machines volantes qu’ils fabriquaient prenaient leur envol au-dessus des plages de la baie de Somme. Lorsque Simon retourne dans ces lieux imprégnés des souvenirs de sa jeunesse, un phénomène étrange se produit : de mystérieuses marées du temps surgissent, brassant les années, contaminant le passé, le présent, le futur. Amitiés, richesses, amours, filiations : toutes les cartes sont en passe d'être rebattues.  Un fascinant voyage à travers le temps, empreint de nostalgie. Actu-SF. Magie des univers multiples, puissance infinie de l’imaginaire sous le voile des choses, célébrée par Philippe Curval. Libération.     
    
  
  
  
  
  
  
  

  
  ",Fantastique
25,"
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           Cas ne parvient pas à oublier Anna. « Anna à la robe de sang », l’esprit le plus puissant qu’il ait jamais rencontré. Anna, qui s’est sacrifiée pour le sauver. À présent, Anna lui apparaît même dans des rêves éveillés... ou plutôt, dans des cauchemars. L’esprit vengeur a laissé place à une jeune fille torturée.Hallucinations ou véritables appels à l’aide ? La frontière entre illusion et réalité semble bien ténue. Anna a-t-elle définitivement quitté le monde des vivants ou est-elle revenue des enfers ? Cas ne sait plus. Il lui reste une seule certitude : quel qu’ait été son destin, il doit retrouver Anna.Deuxième tome d’une trilogie aux accents gothiques, une histoire originale de fantômes pleine de rebondissements. Un conte noir et intrigant. Captivant et romantique. Cassandra Clare, auteur de la série The Mortal Instruments.     
    
  
  
  
  
  
  
  

  
  ",Fantastique
26,"
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           2033. Une guerre a décimé la planète. La surface, inhabitable, est désormais livrée à des monstruosités mutantes. Moscou est une ville abandonnée. Les survivants se sont réfugiés dans les profondeurs du métropolitain, où ils ont tant bien que mal organisé des microsociétés de la pénurie.Dans ce monde réduit à des stations en déliquescence reliées par des tunnels où rôdent les dangers les plus insolites, le jeune Artyom entreprend une mission qui pourrait le conduire à sauver les derniers hommes d'une menace obscure... mais aussi à se découvrir lui-même à travers des rencontres inattendues.Un thriller fantastique inoubliable, traduit dans une vingtaine de langues, qui s'est vendu à 1,5 million d'exemplaires et a été adapté en jeux vidéo (Metro 2033 et Metro : Last Light). Tout simplement excellent !L’Écran fantastique. Un roman de SF post-apocalyptique efficace et intelligent.Bifrost.     
    
  
  
  
  
  
  
  

  
  ",Fantastique
27,"
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           « Une seule mèche de ses cheveux avait dépassé. Rien qu’une seule, mais il n’avait suffi que d’un rai de lumière pour que les hommes y perçoivent le reflet bleuté. Elle rageait de n’avoir pas été plus prudente. Quand les hommes avaient vu, ils s’étaient aussitôt élancés à sa poursuite.Heureusement, ils n’avaient pas vu le collier. »Fuir, rester sur le qui-vive, son arc à la main, c’est le quotidien d’Ériana. Dans sa course éperdue, elle va pourtant croiser la route de Setrian. Le jeune messager des Vents doit l’initier à un terrible secret : sa communauté est menacée par une prophétie et seule une jeune femme bien particulière pourra la sauver. Mais Ériana hésite à lui faire confiance. Et si les prophètes avaient eu tort ?Alors que ses doutes servent le jeu des ennemis, la sentence de la prophétie se rapproche. Ériana aura-t-elle la force de mener cette quête dont les enjeux la dépassent ?     
    
  
  
  
  
  
  
  

  
  ",Fantastique
28,"
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           Tout a commencé en janvier, une nuit de pleine lune… Le premier hurlement fut celui d’un employé des chemins de fer quand il sentit les crocs lui déchirer la gorge. Depuis, chaque nuit de pleine lune, la petite bourgade de Tarker Mills est en proie à l’horreur. Qui sera le prochain ?Un chef-d’œuvre du maître de l’épouvante et du suspense, illustré par un des plus grands dessinateurs américains, Berni Wrighston     
    
  
  
  
  
  
  
  

  
  ",Fantastique
29,"
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           Au nom de la reine, de l’Angleterre et de la parfaite théière.Quand Prudence Alessandra Maccon Akeldama – surnommée Rue dans l’intimité – hérite d’un dirigeable, elle fait ce que ferait n’importe quelle jeune femme dans des circonstances similaires, elle le baptise : La Coccinelle à la crème. Et elle s’envole pour l’Inde. Là-bas, elle tombe au beau milieu d’un complot mené par des dissidents locaux, du kidnapping d’une femme de brigadier et d’une famille de loups-garous écossais qu’elle ne connaît, hélas, que trop bien. Devant tous ces dangers, Rue devra s’en remettre à sa bonne éducation et, bien sûr, à ses aptitudes surnaturelles pour s’en sortir... Des décors somptueux, une bonne société fantastique et des dialogues plein d’esprit. Booklist. INÉDIT     
    
  
  
  
  
  
  
  

  
  ",Fantastique
30,"
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           Midwest, 2009. Dans l’aube glacée, des centaines de chômeurs en quête d’un job font la queue devant un salon de l’emploi. Soudain, une Mercedes fonce sur la foule, laissant huit morts et quinze blessés dans son sillage. Le chauffard, lui, a disparu dans la brume, sans laisser de traces. Un an plus tard, Bill Hodges, flic à la retraite qui n’a pas su résoudre l’affaire, reste obsédé par ce massacre. Une lettre du « tueur à la Mercedes » va le sortir de la dépression et de l’ennui qui le guettent.Délaissant le fantastique pour le polar dans lequel il se glisse avec une jubilation contagieuse, Stephen King démontre une fois de plus son talent de conteur, et son inspecteur Bill Hodges rejoint les figures emblématiques du roman noir américain. King assure savamment l’addiction du lecteur, horrifié et fasciné par le danger qui enfle. Cécile Mury, Télérama.Un thriller qui peut rivaliser avec ceux des meilleurs auteurs du genre. Bruno Corty, Le Figaro.      
    
  
  
  
  
  
  
  

  
  ",Fantastique
