"","line","text","genre"
"11",11,"
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           Amsterdam, février 1941. Le Reichleiter Rosenberg, chargé de la confiscation des biens culturels des juifs dans les territoires occupés, fait main basse sur la bibliothèque de Baruch Spinoza. Qui était-il donc ce philosophe, excommunié en 1656 par la communauté juive d'Amsterdam et banni de sa propre famille, pour, trois siècles après sa mort, exercer une telle fascination sur l’idéologue du parti nazi Irvin Yalom, l’auteur de Et Nietzsche a pleuré, explore la vie intérieure de Spinoza, inventeur d’une éthique de la joie, qui influença des générations de penseurs. Il cherche aussi à comprendre Alfred Rosenberg qui joua un rôle décisif dans l'extermination des juifs d'Europe.Le rythme soutenu du récit, la vivacité des dialogues, l’érudition d’Irvin Yalom, la plongée dans la société néerlandaise du XVIIe siècle et les grands bouleversements de l’Europe du XXe font de cet ouvrage un véritable régal. Marie Auffret-Pericone, La Croix.     
    
  
  
  
  
  
  
  

  
  ","Historique"
"12",12,"
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           Jean Moulin a-t-il été dénoncé parce qu'on craignait ses idées ? Après la guerre, la justice a choisi de répondre « non ». Par deux fois, le principal suspect, René Hardy, a été acquitté. Malgré les témoignages troublants, malgré les documents embarrassants. Décidé à comprendre ce qui s’est noué à Caluire, le 21 juin 1943, un juge à la retraite rouvre le dossier. René Hardy est convoqué par cet homme dans un face-à-face imaginaire. De la gare de Perrache aux geôles de la Gestapo, des couloirs du Palais de justice aux rendez-vous secrets de la Résistance, les versions de chacun se confondent et se contredisent. Les héros et les traîtres sont attachants, secrets, romanesques. Le juge comprendra-t-il enfin son époque et ses propres obsessions ?Cet ouvrage, un peu hybride, est en quelque sorte une quête de vérité par le biais de l’imagination. Un tour de force littéraire. L’Écho républicain.     
    
  
  
  
  
  
  
  

  
  ","Historique"
"13",13,"
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           1910-2010. Prague, Alger, Paris. Nous suivons la traversée du siècle de Joseph Kaplan, médecin juif praguois, des guinguettes de Joinville à la peste d’Alger, de la guerre à l’effondrement communiste. Ses amours, ses engagements, ses désillusions sont contés à travers les tourmentes de l’Histoire. Et surtout, la rencontre qui bouleversa sa vie, celle qu’il fit un jour de 1966 avec un révolutionnaire cubain, un certain Ernesto G., échoué dans la campagne tchèque après sa déroute africaine.Dans la lignée du Club des incorrigibles optimistes, Jean-Michel Guenassia retrace le parcours insolite d’un héros malgré lui. On retrouve l’efficacité de son talent romanesque dans cette fresque captivante et nostalgique, où se confondent l’Histoire et l’intime.Un page-turner digne des plus ébouriffantes sagas yankees, qui mêle petite et grande histoire à la façon des épopées latinas. Philippe Chevilley, Les Echos.     
    
  
  
  
  
  
  
  

  
  ","Historique"
"14",14,"
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           XIIIe siècle. Jaufré, un enfant abandonné devenu troubadour, revient chez lui, à Pamiers en Languedoc. Il y retrouve sa nourrice Thomette, son demi-frère Alexis, le père abbé Aymar qui l'a élevé, le luthier qui l'a initié à la musique et un petit peuple haut en couleur. Dans cette ville où rôde l'Inquisition, Jaufré va découvrir l'amour et un mystérieux manuscrit hérétique dans les combles de l'église. Vont alors peu à peu se dévoiler les énigmes qui hantent les ruines récentes du château fort, les caves du monastère et l'esprit des gens. Henri Gougaud nous offre un exceptionnel roman initiatique, qui nous plonge au cœur du Moyen Âge, cette période de ténèbres et d'espérance, pas si éloignée de notre monde actuel.On se laisse volontiers envoûter par cette histoire diaboliquement ficelée, épicée de mots délicieusement rares et oubliés. Fabienne Pascaud, Télérama.     
    
  
  
  
  
  
  
  

  
  ","Historique"
"15",15,"
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           1794. Après la Terreur, un climat de divertissements et d'excès règne sur Paris. Jouissance et plaisirs sont les mots d'ordre des Merveilleuses, les égéries frivoles et charmantes de cette période charnière. Elles collectionnent les amants comme d'autres les chapeaux, lancent les modes les plus provocantes et mènent par le bout du nez les hommes au pouvoir. Rose de Beauharnais et Thérésia Cabarrus, les plus merveilleuses d'entre ces Merveilleuses, profitent de la liberté retrouvée. Pour l'amour d'un petit général corse, nommé Premier Consul à son retour d'Égypte, Rose deviendra Joséphine, rompant avec son passé tumultueux. Amours, ambitions, secrets d'alcôves, conspirations, Catherine Hermary-Vieille restitue avec son talent romanesque et sa vivacité d’écriture les mœurs de cette époque incertaine et libertine, entre la Révolution et l’Empire.     
    
  
  
  
  
  
  
  

  
  ","Historique"
"16",16,"
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           1933, Hitler s'apprête à prendre le pouvoir. L'Allemagne entame les heures les plus sombres de son histoire et va entraîner le monde entier dans la barbarie et la destruction. Les cinq familles dont nous avons fait la connaissance dans La Chute des géants vont être emportées par le tourbillon de la Seconde Guerre mondiale. Amours contrariées, douloureux secrets, tragédies, coups du sort... Des salons du Yacht-Club de Buffalo à Pearl Harbor bombardé, des sentiers des Pyrénées espagnoles à Londres sous le Blitz, de Moscou en pleine évacuation à Berlin en ruines, Boy Fitzherbert, Carla von Ulrich, Lloyd Williams, Daisy Pechkov, Gus Dewar et les autres tenteront de faire face au milieu du chaos. Entre épopée historique et roman d'espionnage, histoire d'amour et thriller politique, ce deuxième volet de la magistrale trilogie du Siècle brosse une fresque inoubliable.     
    
  
  
  
  
  
  
  

  
  ","Historique"
"17",17,"
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           Les Peruzzi : dix-sept frères et sœurs. Des paysans sans terre, tendance marxiste, à la tête dure et au sang chaud. Parce qu'un certain Benito Mussolini est un ami de la famille, ils abandonnent le rouge pour le noir. En 1932, ils émigrent dans les marais Pontins, au sud de Rome, où démarre le chantier le plus spectaculaire de la dictature qui durera huit ans. Ils deviennent enfin propriétaires de leurs domaines. Mais tandis que l'histoire emporte les aînés dans le tourbillon des conquêtes coloniales et de la Seconde Guerre mondiale, au Canal, les abeilles d'Armida, l'ensorcelante femme de Pericle, prédisent un sombre avenir.Pennacchi dresse un tableau saisissant, humain mais sans concession, de cette « conquête » de l’Italie fasciste – façon western mussolinien. Les Echos.Une truculence éblouissante et une ironie empreinte de bienveillance. Le Nouvel Observateur.     
    
  
  
  
  
  
  
  

  
  ","Historique"
"18",18,"
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           De ses amours avec César et Marc Antoine, Cléopâtre eut quatre enfants. Seule Séléné survécut au destin tragique de la reine d’Egypte. Âgée de dix ans lors de la prise d’Alexandrie, elle n'oublia jamais l'anéantissement de sa famille, de son royaume, de sa dynastie, de ses dieux. Prisonnière en terre étrangère, elle vécut dès lors pour venger ses frères et faire survivre dans le monde des vainqueurs la lignée des vaincus. Avec la sensibilité d'écriture et la force romanesque qui ont fait de L'Allée du Roi un classique, Françoise Chandernagor s'empare du destin de la dernière des Ptolémées et questionne un passé deux fois millénaire. Une fresque grandiose.Françoise Chandernagor porte son Egypte à bras-le-corps avec cette aisance, ce brio que confère une passion intelligente. Patrick Grainville, Le Figaro littéraire.Un régal d’intelligence, de sensualité et de culture qu’on dévore à belles dents. Yves Viollier, La Vie.     
    
  
  
  
  
  
  
  

  
  ","Historique"
"19",19,"
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           Aux derniers jours du règne colonial, Albert Vandel n'a pas renoncé. Barricadé dans son bordj, il devient fou comme un roi qui se meurt, revivant le temps des pionniers, des conquêtes algériennes, alors qu’il versait le sang pour « civiliser les peuples », « pacifier les territoires ». Pourquoi renoncerait-il, puisque les ors de la République lui ont donné le pouvoir et que les Présidents et autres ministres de la France républicaine ont honoré sa table cent années durant ? Avec ce nouveau roman, Mathieu Belezi, dans une langue prophétique, remue les entrailles d'une mémoire obscène que certains préféreraient oublier. Et par-delà cette amnésie de l’histoire, ce crépuscule des vieux ramène le lecteur vers d’autres pachas avides et sanguinaires, qui ont pris le relais de la colonisation européenne pour saigner leur pays à blanc et asservir leur peuple avant qu’il se réveille, en un printemps arabe dépassant les saisons. Laurent Boscq, RollingStone.     
    
  
  
  
  
  
  
  

  
  ","Historique"
"20",20,"
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           Sur les monts du Vivarais, en Ardèche, depuis des générations, les Andromas élèvent dans leur ferme des cocons de mûrier pour produire de la soie. En cette fin du XIXe siècle, Théodore et Mariette ont deux filles, Eugénie et Pauline, et un garçon, le petit dernier, Silvius. Théodore ambitionne de voir son fils lui succéder, mais le jeune homme choisit de s’installer à Lyon quand il s’éprend de Roxane, la fille d'un riche soyeux. Sur les pentes de la Croix-Rousse, parmi le monde besogneux des ouvriers de la soie, il parviendra à se faire une place dans le milieu très fermé des négociants. Mais, entre la belle et capricieuse jeune femme et le fils de paysan plein d'ambition, la greffe peut-elle prendre ? Et que deviendront Eugénie et Pauline qui, elles aussi, ont fui la maison familiale et – surtout – leur père, qui ne sait que les mépriser, les brutaliser et se perdre dans la boisson ?     
    
  
  
  
  
  
  
  

  
  ","Historique"
"21",21,"
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           Au cours du bel été 37, la terreur grande était partout, mille six cents exécutions par jour en moyenne dans l’Union des Républiques soviétiques socialistes, cinquante mille fusillés par mois, mais les jeunes filles d’Odessa mettaient leurs plus légères robes de coton pour accueillir les arrivants et, le soir, du pont des bateaux, pendant que les haut-parleurs diffusaient des valses joyeuses, les globe-trotters en complets blancs admiraient les manèges illuminés qui tournaient dans les collines. J.-P. M. À travers le récit d’une évasion à première vue impossible, Jean-Pierre Milovanoff revient sur ses attaches russes, mêlant le destin de ceux qui ont pris le risque de l’exil et la tragédie de millions d’hommes, broyés par l’histoire. Milovanoff a trouvé là un sujet à la hauteur de son style. Digne du meilleur Axionov, son petit livre est un très grand livre. Jean-Christophe Buisson, Le Figaro.     
    
  
  
  
  
  
  
  

  
  ","Historique"
"22",22,"
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           Dans un pays des Balkans qui se remet d'un siècle de guerres, Natalia est chargée de vacciner les pensionnaires d'un orphelinat. Autour d'elle, tout n'est que superstitions. Les épidémies seraient des malédictions, les morts, des forces vives. Natalia rattache ces croyances absurdes aux contes que lui a transmis son grand-père. Mais l'histoire la plus extraordinaire, celle de la femme du tigre, il l'a emportée dans la tombe. En confrontant présent, souvenirs et légendes, Natalia comprendra les errements des générations passées, et les travers de la sienne. Téa Obreht passe avec virtuosité d’une strate de temps à l’autre, d’un récit et d’un lieu à l’autre pour composer ce roman d’une intelligence et d’une beauté lumineuses sur les pouvoirs de la fable. Son premier roman révèle une adresse narrative, un souffle et une profondeur qui la placent d’emblée au-dessus d’écrivains plus aguerris. Raphaëlle Leyris, Le Monde des livres.     
    
  
  
  
  
  
  
  

  
  ","Historique"
"23",23,"
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           En 1944, alors que le Débarquement approche, Galán et ses compagnons, membres du parti communiste, sont convaincus de pouvoir instaurer bientôt un gouvernement républicain à Viella, en Catalogne. Non loin de là vit Inés. Restée seule à Madrid pendant la guerre civile, elle a épousé la cause républicaine, au grand dam de son frère, délégué de la Phalange, qui la tient à l’oeil. Alors qu’elle écoute en cachette Radio Pyrénées, elle capte un jour l’annonce de l’Opération Reconquête. Pleine de courage, elle décide de rejoindre cette armée. Une vie aventureuse et un grand amour l’y attendent.Le tour de force de la romancière est de réussir à tisser sur un canevas rigoureusement historique une fiction sentimentale irrésistible, jamais convenue. Étoffant sans relâche ses personnages, tous plus fascinants les uns que les autres, sa plume reste constamment dans une dimension très littéraire. Elle est grande, la Grandes. Delphine Peras, L’Express styles.     
    
  
  
  
  
  
  
  

  
  ","Historique"
"24",24,"
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           Sara voue à sa sœur aînée une jalousie terrible qui la pousse à la calomnie et à la violence. « Pourtant nous nous aimions tant quand nous étions enfant... » s'afflige Emma qui ne comprend pas pourquoi sa petite sœur, devenue sa pire ennemie, s'acharne à la détruire. Longtemps, Emma va espérer la désarmer par un excès de patience et de générosité, mais rien n'y fait : plus elle lui cède, plus sa sœur s'enflamme. C'est au décès de leur mère, puis de leur père que Sara achève d'exploser : au mépris de la loi et même du bon sens, elle commet l'impensable pour arriver à dépouiller sa sœur, quitte à en pâtir elle-même... Une observation délicate et implacable de Madeleine Chapsal, riche de son empathie et de son expérience. Beau, cruel, tragique. Paule Martigny, Mémoire des arts.     
    
  
  
  
  
  
  
  

  
  ","Historique"
"25",25,"
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           Et si le Caravage, grand peintre italien à l'existence tumultueuse, avait laissé un journal ? Et si Camilleri, écrivain brillant et érudit, avait été mystérieusement guidé vers la découverte de ce précieux manuscrit ? Et si ces pages, qui nous replongent dans un XVIe siècle finissant, nous donnaient de nouvelles clés pour comprendre les foucades de l'homme et les prouesses de l'artiste ? Andrea Camilleri nous offre ici de vivre de l'intérieur le dernier voyage aventureux du Caravage fuyant la justice des chevaliers de Malte. Avec le brio de l'écrivain rompu au genre historique comme au policier, il sait imaginer pour ce génie du clair-obscur une voix d'une authenticité confondante.     
    
  
  
  
  
  
  
  

  
  ","Historique"
"26",26,"
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           Versailles, 1774-1792. Deux décennies presque, qui, pour Marie-Antoinette, furent des années de bonheur et de fêtes avant de s’achever sur l’échafaud. Autour d’elle, le « cercle enchanté » de ses amis, de ses intimes, insouciants, raffinés et avides d’honneurs et d’argent. Ils se nomment Artois, Lamballe, Polignac, Lauzun ou Fersen, ils sont comte, duc ou princesse et profitent de la vie de plaisirs que leur offre une reine toujours plus frivole, indifférente et sûre d’elle. Séduits par leur jeune et capricieuse souveraine, ils ne veulent pas voir que, sorti de Trianon, l’Ancien Régime vit ses dernières heures. Le vent de l’Histoire gronde. Tous, hommes et femmes, seront emportés.Sous l’apparence souriante de l’avocate bienveillante, C. Hermary-Vieille est un impitoyable procureur. Gilles Martin-Chauffier, Paris-Match.     
    
  
  
  
  
  
  
  

  
  ","Historique"
"27",27,"
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           1797. Dans une forêt du Languedoc, des chasseurs capturent un garçon errant, nu et hirsute. Qui est-il, cet « enfant sauvage », aussi dépourvu, semble-t-il, d’âme et de raison qu’une bête ? Après avoir été exhibé tel un monstre de foire, il est finalement abandonné à son incurable sauvagerie. Seul le docteur Itard s'entête à croire que de cet « animal » il saura faire un homme. Des années durant, l'enfant, rebaptisé Victor, va subir l'apprentissage de la civilisation sous la férule de son maître. Dans ce récit, bref et intense, T. C. Boyle s'empare de la célèbre histoire de Victor de l'Aveyron, qui inspira aussi l'un de ses plus beaux films à François Truffaut. Inhabituellement bref et émouvant, L’Enfant sauvage voit le satiriste enragé se muer en poète et trouver dans l’empathie un antidote à sa coutumière causticité. Bruno Juffin, Les Inrockuptibles.     
    
  
  
  
  
  
  
  

  
  ","Historique"
"28",28,"
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           Chicago, octobre 1920. Hadley Richardson a 28 ans et débarque du Missouri lorsqu’elle fait la connaissance d’un jeune homme de 20 ans, revenu blessé de la Grande Guerre, Ernest Hemingway. Après un mariage éclair, ils embarquent pour la France et se retrouvent à Paris au cœur d’une « génération perdue » d’écrivains anglo-saxons expatriés – Gertrud Stein, Ezra Pound, James Joyce, Scott Fitzgerald… Rive gauche, entre l’alcool et la cocaïne, la guerre des ego, les couples qui se font et se défont et la beauté des femmes, Ernest travaille à son premier roman : Le soleil se lève aussi, qui lui apportera consécration et argent. Mais à quel prix ? Hadley saura-t-elle répondre aux exigences et aux excès de son écrivain de mari ? Pourra-t-elle rester sa muse, sa complice, son épouse ?Cette Madame Hemingway emporte le lecteur, avec et malgré elle, dans le sillage d’un géant des lettres et le tourbillon d’une époque. Eglantine Gabaix-Hialé, La Vie.     
    
  
  
  
  
  
  
  

  
  ","Historique"
"29",29,"
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           Debout sur la terre ou l’histoire chaotique de l’Iran du XXe siècle à travers la destinée d’une femme et de deux hommes. Ensiyeh, fille de khan, élevée comme un garçon, est propriétaire terrienne. Fereydoun, séducteur et réalisateur d’un feuilleton à succès, aime Ensiyeh. Monsieur V., biographe de Victor Hugo, est conseiller du chah. Parce qu’ils sont riches et cultivés, ils pensent détenir le pouvoir. Mais l’Iran, c’est aussi son peuple, Massoud, l’électricien, d’autres encore… qui vivent les soubresauts de l’histoire de leur pays : la mort de la monarchie des Pahlavi, la révolution islamique, le voile qu’on retire et qu’on remet… Un monde qui se croyait immuable et qui brusquement prend fin en 1979.Un grand moment de lecture où l’érudition ne nuit jamais à l’humour. Isabelle Vramian, Elle. Comme dans Cent ans de solitude son roman raconte et pense l’Histoire, en-deçà des histoires. Atiq Rahimi, Paris-Match.     
    
  
  
  
  
  
  
  

  
  ","Historique"
"30",30,"
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           1919, en Lorraine. Quand Henri, employé à la brasserie de Vézelise, annonce son désir d'épouser Marguerite, la réaction hostile de son oncle Charles surprend tout le monde. Que Marguerite soit un peu plus âgée que lui ne saurait constituer un obstacle sérieux à la réussite de leur couple. Henri est né de père inconnu et sa mère, Marie-Victoire, sœur de Charles, est morte alors qu'il avait quatre ans. Plus encore que sa grand-mère, c'est Charles qui l'a élevé avec un amour paternel. Pourquoi s'oppose-t-il soudain à son bonheur ? Cette question lancinante ne trouvera de réponse que bien des années après, lorsque Henri découvrira les circonstances de sa naissance dans le journal intime de sa mère, petite couturière entreprenante et courageuse, prise au piège de sa sincérité et victime de l'opprobre dont les filles mères étaient accablées en ce temps-là.     
    
  
  
  
  
  
  
  

  
  ","Historique"
"31",31,"
  
        Résumé
    
  
  
    
        
  
  
      
        
      
           Le 12 mars 1938, les troupes de la Wehrmacht entrent en Autriche et proclament l’Anschluss. Ce même jour, Pal Valdas, employé à la Poste de Budapest, se réveille couvert d’une eau sombre et salée. Inquiet, il décide de consulter le médecin de la Poste, le Docteur Zeisler. L’analyse à laquelle celui-ci procède décèle une composition proche de celle de l'eau de mer, riche en sel et contenant des algues. Faut-il soigner Pal Vadas, fonctionnaire modèle enrôlé malgré lui dans le camp nazi ? Faut-il l'éliminer ? Doit-il fuir ou se soumettre ? Roman troublant et fort, qui révèle la folie d'une époque, L'Homme mouillé est l'histoire d'une sentinelle de l'angoisse.Pal s’écoule. Personne ne peut le guérir. Autour, le monde glisse droit vers la guerre. L’imagination du lecteur divague avec le héros. L’écriture est si dense, implacable, que l’embarquement est un bonheur. Clara-Dupont-Monod, Marianne.     
    
  
  
  
  
  
  
  

  
  ","Historique"
